date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:34	25628/25628	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2008:59:58%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/index.html	(from )
21:57:35	214/214	---MC-	302	error ('Found')	text/html	date:Fri,%2008%20Jan%202021%2019:54:17%20GMT	https://lmpixels.com/robots.txt		(from )
21:57:35	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e8c6b7a-47e%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/favicon.ico	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/favicon.ico	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:36	9347/9347	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b2fd0-2483%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/normalize.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/normalize.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:36	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfcdf0-26f1b%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/bootstrap.min.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/bootstrap.min.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:36	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.carousel.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.carousel.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:37	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/magnific-popup.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/magnific-popup.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:37	116615/116615	---MCZ	200	added ('OK')	text/css	etag:W/%225e9ec04c-1c787%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:37	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/modernizr.custom.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/modernizr.custom.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:38	25162/25162	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:34%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/index-2.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/index-2.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
